Accident_ID,Party_Type,Province,Intersection_ID,Year,Main_Road_Type,Urban_Access_Road_Type,Residential_Road_Type,Intersection_Type,Road_Segment_Number,Road_Structure_Type,Pavement_Type,Surface_Type
20230001893,SPEEDPEDELEC,Gelderland,365239008.0,2023,N,J,N,,,G,PKP,
20230003443,SPEEDPEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230004915,SPEED PEDELEC,Zuid-Holland,600185355.0,2023,N,J,N,K,184329037.0,G,FP,
20230004265,FATBIKE,Noord-Holland,600150308.0,2023,N,J,N,K,232375156.0,G,FP,
20230007877,SPEED PEDELEC,Noord-Brabant,,2023,,,,,,G,PKP,
20230015241,SPEED PEDELEC,Friesland,,2023,,,,,,G,PKP,
20230017589,SPEED PEDELEC,Noord-Holland,222430201.0,2023,N,J,N,K,222430194.0,G,RB,
20230017968,FATBIKE,Noord-Holland,210387077.0,2023,N,J,N,K,210387077.0,G,RB,
20230020507,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230036843,FATBIKE,Noord-Holland,600158287.0,2023,N,J,N,K,228371077.0,G,FP,
20230036481,FATBIKE,Noord-Holland,207376237.0,2023,N,J,N,K,207376237.0,G,RB,
20230045336,SPEED PEDELEC,Gelderland,600223921.0,2023,N,J,N,K,290245023.0,G,RB,
20230038759,FATBIKE,Zuid-Holland,206253071.0,2023,N,J,N,K,206253062.0,G,FP,
20230046508,FATBIKE,Noord-Holland,205394177.0,2023,N,J,N,K,205394177.0,G,RB,
20230037130,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230042214,SPEED PEDELEC,Noord-Brabant,600058555.0,2023,N,J,N,,,G,PKP,
20230037831,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
